assessment_id,subject_id,class_id,assessment_duration,start_date,end_date,is_published,has_generated_results,is_synced
1,1,2,3600,"2023-09-18 00:00:00","2023-09-19 00:00:00",0,0,0
1,2,2,3600,"2023-09-18 00:00:00","2023-09-19 00:00:00",0,0,0
1,3,2,3600,"2023-09-19 00:00:00","2023-09-20 00:00:00",0,0,0
1,4,2,3600,"2023-09-19 13:00:00","2023-09-20 00:00:00",0,0,0
1,5,2,3600,"2023-09-20 00:00:00","2023-09-21 00:00:00",1,0,0
1,6,2,3600,"2023-09-20 00:00:00","2023-09-21 00:00:00",1,0,0
1,7,2,3600,"2023-09-20 00:00:00","2023-09-22 00:00:00",1,0,0
1,8,2,3600,"2023-09-20 00:00:00","2023-09-22 00:00:00",1,0,0
2,13,3,4200,"2023-09-25 00:00:00","2023-09-26 00:00:00",0,0,0
2,12,3,4200,"2023-09-25 00:00:00","2023-09-26 00:00:00",0,0,0
2,11,3,3600,"2023-09-26 00:00:00","2023-09-27 00:00:00",0,0,0
2,10,3,3600,"2023-09-27 00:00:00","2023-09-28 00:00:00",0,0,0
2,9,3,3600,"2023-09-28 00:00:00","2023-09-29 00:00:00",0,0,0
